航空公司ID,出发地ID,目的地ID,航线ID,日期,出发地机场名称,出发地城市,出发地国家,src_lng,src_lat,出发地机场ID,出发地新冠确诊病例,出发地猴痘确诊病例,目的地机场名称,目的地城市,目的地国家,dst_lng,dst_lat,目的地机场ID,目的地新冠确诊病例,目的地猴痘确诊病例,航空公司名称,航空公司国家,航空公司ID,航线流量,病例
4,1965,3307,2357,2030-01-20 00:00:00,La Tontouta,Noumea,New Caledonia,166.212972,-22.014553,1965,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,2,0.0
5,575,3307,3620,2030-01-20 00:00:00,Mount Pleasant,Mount Pleasant,Falkland Islands,-58.447222,-51.822777,575,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Air China,China,5,3,0.0
3,575,3307,9518,2030-01-20 00:00:00,Mount Pleasant,Mount Pleasant,Falkland Islands,-58.447222,-51.822777,575,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,0.0
3,3786,3307,9532,2030-01-20 00:00:00,Robins Afb,Macon,United States,-83.59185,32.640144,3786,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,0.0
4,1358,3307,2427,2030-01-20 00:00:00,Creil,Creil,France,2.519139,49.253547,1358,6213201.0,1.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,2,6213201.0
3,1358,3307,9562,2030-01-20 00:00:00,Creil,Creil,France,2.519139,49.253547,1358,8071763.0,1.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,8071763.0
3,2231,3307,9626,2030-01-20 00:00:00,Obihiro,Obihiro,Japan,143.217222,42.733333,2231,2436253.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,2436253.0
3,3012,3307,9670,2030-01-20 00:00:00,Dehradun,Dehra Dun,India,78.180256,30.189689,3012,33543909.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,3,33543909.0
5,3546,3307,3993,2030-01-20 00:00:00,Bob Hope,Burbank,United States,-118.358667,34.200667,3546,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Air China,China,5,2,0.0
7,3546,3307,5709,2030-01-20 00:00:00,Bob Hope,Burbank,United States,-118.358667,34.200667,3546,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,US Airways,United States,7,2,0.0
3,3546,3307,9697,2030-01-20 00:00:00,Bob Hope,Burbank,United States,-118.358667,34.200667,3546,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,0.0
4,3395,3307,2621,2030-01-20 00:00:00,Lafayette Rgnl,Lafayette,United States,-91.987611,30.205278,3395,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,1,0.0
8,3395,3307,12501,2030-01-20 00:00:00,Lafayette Rgnl,Lafayette,United States,-91.987611,30.205278,3395,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Delta Air Lines,United States,8,3,0.0
3,1529,3307,9707,2030-01-20 00:00:00,Pratica Di Mare,Pratica Di Mare,Italy,12.445183,41.654522,1529,6745670.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,3,6745670.0
4,337,3307,2637,2030-01-20 00:00:00,Erfurt,Erfurt,Germany,10.958106,50.979811,337,4754491.0,1.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,3,4754491.0
3,337,3307,9714,2030-01-20 00:00:00,Erfurt,Erfurt,Germany,10.958106,50.979811,337,6670193.0,1.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,3,6670193.0
