airline,src,dst,routeId,date,name_src,city_src,country_src,src_lng,src_lat,airportId_src,Covid confirmed cases_src,Monkeypox confirmed cases_src,name_dst,city_dst,country_dst,dst_lng,dst_lat,airportId_dst,Covid confirmed cases_dst,Monkeypox confirmed cases_dst,airline_name,airline_country,airlineId,flow count
3,3116,3307,10354,2022-04-21 00:00:00,Phu Quoc,Phuquoc,Vietnam,103.967169,10.227025,3116,10533164.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,Southwest Airlines,United States,3,1
2,3648,3926,16700,2022-04-21 00:00:00,Key West Nas,Key West,United States,-81.688889,24.575834,3648,,,Lijiang Airport,Lijiang,China,100.23333,26.883333,3926,1927327.0,,easyJet,United Kingdom,2,1
4,3268,5265,3125,2022-04-21 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,5613341.0,,Nanping Wuyishan Airport,Wuyishan,China,118.001,27.7019,5265,1927327.0,,China Eastern Airlines,China,4,1
3,4221,3293,10055,2022-04-21 00:00:00,Ust-Ilimsk,Ust Ilimsk,Russia,102.566,58.135,4221,17846818.0,,Luogang,Hefei,China,117.298436,31.780019,3293,1927327.0,,Southwest Airlines,United States,3,1
5,3976,5218,4182,2022-04-21 00:00:00,Telluride,Telluride,United States,-107.90848,37.953759,3976,,,Datong Airport,Datong,China,113.482,40.0603,5218,1927327.0,,Air China,China,5,1
3,3786,3298,9529,2022-04-21 00:00:00,Robins Afb,Macon,United States,-83.59185,32.640144,3786,,,Longdongbao,Guiyang,China,106.800703,26.538522,3298,1927327.0,,Southwest Airlines,United States,3,1
3,6083,3297,9824,2022-04-21 00:00:00,Macau Ferry Pier,Macau,Macau,113.558911,22.197075,6083,,,Jiangbei,Chongqing,China,106.641678,29.719217,3297,1927327.0,,Southwest Airlines,United States,3,1
5,2335,3286,4366,2022-04-21 00:00:00,Yonaguni,Yonaguni Jima,Japan,122.977778,24.466944,2335,,,Wujiaba,Kunming,China,102.743536,24.992364,3286,1927327.0,,Air China,China,5,1
8,3731,3307,13484,2022-04-21 00:00:00,Lubbock Preston Smith Intl,Lubbock,United States,-101.822778,33.663639,3731,,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,Delta Air Lines,United States,8,1
4,3268,5267,3138,2022-04-21 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,5613341.0,,Yancheng Airport,Yancheng,China,120.125,33.3856,5267,1927327.0,,China Eastern Airlines,China,4,1
5,5480,3302,4711,2022-04-21 00:00:00,Mardin Airport,Mardin,Turkey,40.6317,37.2233,5480,15010718.0,,Hotan,Hotan,China,79.864933,37.038522,3302,1927327.0,,Air China,China,5,1
3,154,3307,10741,2022-04-21 00:00:00,Norman Wells,Norman Wells,Canada,-126.798219,65.281617,154,3679701.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,Southwest Airlines,United States,3,1
3,2995,3285,9663,2022-04-21 00:00:00,Tejgaon,Dhaka,Bangladesh,90.382689,23.778783,2995,1952485.0,,Gasa,Jinghonggasa,China,100.759611,21.973914,3285,1927327.0,,Southwest Airlines,United States,3,1
3,4188,3298,9869,2022-04-21 00:00:00,Chumphon,Chumphon,Thailand,99.361706,10.7112,4188,4128038.0,,Longdongbao,Guiyang,China,106.800703,26.538522,3298,1927327.0,,Southwest Airlines,United States,3,1
10,4088,4196,8625,2022-04-21 00:00:00,Marsa Alam Intl,Marsa Alam,Egypt,34.583711,25.557111,4088,515645.0,,Dunhuang Airport,Dunhuang,China,94.4818,40.094,4196,1927327.0,,American Airlines,United States,10,1
4,2996,3279,2726,2022-04-21 00:00:00,Zia Intl,Dhaka,Bangladesh,90.397781,23.843333,2996,1952485.0,,Xinzheng,Zhengzhou,China,113.840889,34.519672,3279,1927327.0,,China Eastern Airlines,China,4,1
5,7442,3274,5015,2022-04-21 00:00:00,Wickenburg Municipal Airport,Wickenburg,United States,-112.7990036,33.96889877,7442,,,Baiyun Intl,Guangzhou,China,113.298786,23.392436,3274,1927327.0,,Air China,China,5,1
3,5214,5223,10106,2022-04-21 00:00:00,Yam Island Airport,Yam Island,Australia,142.776,-9.90111,5214,,,Ulanhot Airport,Ulanhot,China,122.017,46.083,5223,1927327.0,,Southwest Airlines,United States,3,1
5,3999,3303,4724,2022-04-21 00:00:00,Vancouver Coal Harbour,Vancouver,Canada,-123.115833,49.289722,3999,,,Diwopu,Urumqi,China,87.474244,43.907106,3303,1927327.0,,Air China,China,5,1
3,3925,3285,10015,2022-04-21 00:00:00,East 34th Street Heliport,New York,United States,-73.971944,40.7425,3925,,,Gasa,Jinghonggasa,China,100.759611,21.973914,3285,1927327.0,,Southwest Airlines,United States,3,1
5,4034,5266,4589,2022-04-21 00:00:00,Oudomxay,Muang Xay,Laos,101.994,20.6827,4034,203545.0,,Wenzhou Yongqiang Airport,Wenzhou,China,120.852,27.9122,5266,,,Air China,China,5,1
3,3922,3285,10448,2022-04-21 00:00:00,Domododevo,Moscow,Russia,37.906111,55.408611,3922,17846818.0,,Gasa,Jinghonggasa,China,100.759611,21.973914,3285,1927327.0,,Southwest Airlines,United States,3,1
2,3591,3926,16139,2022-04-21 00:00:00,Imperial Co,Imperial,United States,-115.578744,32.834219,3591,,,Lijiang Airport,Lijiang,China,100.23333,26.883333,3926,1927327.0,,easyJet,United Kingdom,2,1
4,4011,3277,2659,2022-04-21 00:00:00,Ambouli International Airport,Djibouti,Djibouti,43.1594,11.5472,4011,15611.0,,Wuxu,Nanning,China,108.172442,22.608267,3277,1927327.0,,China Eastern Airlines,China,4,1
5,4267,3273,3809,2022-04-21 00:00:00,Yuzhny,Ivanovo,Russia,40.940833,56.939444,4267,17846818.0,,Wusu,Taiyuan,China,112.628428,37.746897,3273,1927327.0,,Air China,China,5,1
4,2858,3270,2751,2022-04-21 00:00:00,Knevichi,Vladivostok,Russia,132.148017,43.398953,2858,17846818.0,,Hongyuan Airfield,Hongyuan,China,102.534785,32.800428,3270,1927327.0,,China Eastern Airlines,China,4,1
4,3268,5301,3135,2022-04-21 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,5613341.0,,Shanhaiguan Airport,Qinhuangdao,China,119.731,39.9681,5301,1927327.0,,China Eastern Airlines,China,4,1
5,2903,3302,4709,2022-04-21 00:00:00,Al Udeid AB,Doha,Qatar,51.3228,25.1174,2903,363905.0,,Hotan,Hotan,China,79.864933,37.038522,3302,1927327.0,,Air China,China,5,1
4,3155,3296,2762,2022-04-21 00:00:00,Jalaluddin,Gorontalo,Indonesia,122.849858,0.637119,3155,6042595.0,,Laishan,Yantai,China,121.371667,37.401667,3296,1927327.0,,China Eastern Airlines,China,4,1
5,2846,3302,4036,2022-04-21 00:00:00,Aktyubinsk,Aktyubinsk,Kazakhstan,57.206667,50.245833,2846,1394290.0,,Hotan,Hotan,China,79.864933,37.038522,3302,1927327.0,,Air China,China,5,1
4,3884,3293,2829,2022-04-21 00:00:00,Ellinikon International Airport,Athens,Greece,23.4346,37.5354,3884,,,Luogang,Hefei,China,117.298436,31.780019,3293,1927327.0,,China Eastern Airlines,China,4,1
3,6436,3947,10501,2022-04-21 00:00:00,Chkalovsky Airport,Shchyolkovo,Russia,38.061667,55.878333,6436,17846818.0,,Dali,Dali,China,100.319444,25.649444,3947,1927327.0,,Southwest Airlines,United States,3,1
4,4267,3295,2461,2022-04-21 00:00:00,Yuzhny,Ivanovo,Russia,40.940833,56.939444,4267,17846818.0,,Hongqiao Intl,Shanghai,China,121.336319,31.197875,3295,1927327.0,,China Eastern Airlines,China,4,1
5,3925,3296,4338,2022-04-21 00:00:00,East 34th Street Heliport,New York,United States,-73.971944,40.7425,3925,,,Laishan,Yantai,China,121.371667,37.401667,3296,1927327.0,,Air China,China,5,1
4,3268,5304,3027,2022-04-21 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,5613341.0,,Jiayuguan Airport,Jiayuguan,China,98.3414,39.8569,5304,1927327.0,,China Eastern Airlines,China,4,1
5,4267,3293,3824,2022-04-21 00:00:00,Yuzhny,Ivanovo,Russia,40.940833,56.939444,4267,17846818.0,,Luogang,Hefei,China,117.298436,31.780019,3293,1927327.0,,Air China,China,5,1
3,154,3307,10741,2022-04-21 00:00:00,Norman Wells,Norman Wells,Canada,-126.798219,65.281617,154,3679701.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,Southwest Airlines,United States,3,1
