DateRep,CountryExp,CountryCode,Source,ConfCases
2022-04-22,Austria,AT,TESSy,0
2022-04-22,Belgium,BE,TESSy,0
2022-04-22,Bulgaria,BG,TESSy,0
2022-04-22,Croatia,HR,TESSy,0
2022-04-22,Cyprus,CY,TESSy,0
2022-04-22,Czechia,CZ,TESSy,0
2022-04-22,Denmark,DK,TESSy,0
2022-04-22,Estonia,EE,TESSy,0
2022-04-22,Finland,FI,TESSy,0
2022-04-22,France,FR,TESSy,0
2022-04-22,Germany,DE,TESSy,0
2022-04-22,Greece,EL,TESSy,0
2022-04-22,Hungary,HU,TESSy,0
2022-04-22,Iceland,IS,TESSy,0
2022-04-22,Ireland,IE,TESSy,0
2022-04-22,Italy,IT,TESSy,0
2022-04-22,Latvia,LV,TESSy,0
2022-04-22,Lithuania,LT,TESSy,0
2022-04-22,Luxembourg,LU,TESSy,0
2022-04-22,Malta,MT,TESSy,0
2022-04-22,Netherlands,NL,TESSy,0
2022-04-22,Norway,NO,TESSy,0
2022-04-22,Poland,PL,TESSy,0
2022-04-22,Portugal,PT,TESSy,1
2022-04-22,Romania,RO,TESSy,0
2022-04-22,Slovakia,SK,TESSy,0
2022-04-22,Slovenia,SI,TESSy,0
2022-04-22,Spain,ES,TESSy,0
2022-04-22,Sweden,SE,TESSy,0
2022-04-29,Austria,AT,TESSy,0
2022-04-29,Belgium,BE,TESSy,0
2022-04-29,Bulgaria,BG,TESSy,0
2022-04-29,Croatia,HR,TESSy,0
2022-04-29,Cyprus,CY,TESSy,0
2022-04-29,Czechia,CZ,TESSy,0
2022-04-29,Denmark,DK,TESSy,0
2022-04-29,Estonia,EE,TESSy,0
2022-04-29,Finland,FI,TESSy,0
2022-04-29,France,FR,TESSy,0
2022-04-29,Germany,DE,TESSy,0
2022-04-29,Greece,EL,TESSy,0
2022-04-29,Hungary,HU,TESSy,0
2022-04-29,Iceland,IS,TESSy,0
2022-04-29,Ireland,IE,TESSy,0
2022-04-29,Italy,IT,TESSy,0
2022-04-29,Latvia,LV,TESSy,0
2022-04-29,Lithuania,LT,TESSy,0
2022-04-29,Luxembourg,LU,TESSy,0
2022-04-29,Malta,MT,TESSy,0
2022-04-29,Netherlands,NL,TESSy,0
2022-04-29,Norway,NO,TESSy,0
2022-04-29,Poland,PL,TESSy,0
2022-04-29,Portugal,PT,TESSy,2
2022-04-29,Romania,RO,TESSy,0
2022-04-29,Slovakia,SK,TESSy,0
2022-04-29,Slovenia,SI,TESSy,0
2022-04-29,Spain,ES,TESSy,0
2022-04-29,Sweden,SE,TESSy,0
2022-05-01,Austria,AT,TESSy,0
2022-05-01,Belgium,BE,TESSy,0
2022-05-01,Bulgaria,BG,TESSy,0
2022-05-01,Croatia,HR,TESSy,0
2022-05-01,Cyprus,CY,TESSy,0
2022-05-01,Czechia,CZ,TESSy,0
2022-05-01,Denmark,DK,TESSy,0
2022-05-01,Estonia,EE,TESSy,0
2022-05-01,Finland,FI,TESSy,0
2022-05-01,France,FR,TESSy,0
2022-05-01,Germany,DE,TESSy,0
2022-05-01,Greece,EL,TESSy,0
2022-05-01,Hungary,HU,TESSy,0
2022-05-01,Iceland,IS,TESSy,0
2022-05-01,Ireland,IE,TESSy,0
2022-05-01,Italy,IT,TESSy,0
2022-05-01,Latvia,LV,TESSy,0
2022-05-01,Lithuania,LT,TESSy,0
2022-05-01,Luxembourg,LU,TESSy,0
2022-05-01,Malta,MT,TESSy,0
2022-05-01,Netherlands,NL,TESSy,0
2022-05-01,Norway,NO,TESSy,0
2022-05-01,Poland,PL,TESSy,0
2022-05-01,Portugal,PT,TESSy,1
2022-05-01,Romania,RO,TESSy,0
2022-05-01,Slovakia,SK,TESSy,0
2022-05-01,Slovenia,SI,TESSy,0
2022-05-01,Spain,ES,TESSy,0
2022-05-01,Sweden,SE,TESSy,0
2022-05-04,Austria,AT,TESSy,0
2022-05-04,Belgium,BE,TESSy,0
2022-05-04,Bulgaria,BG,TESSy,0
2022-05-04,Croatia,HR,TESSy,0
2022-05-04,Cyprus,CY,TESSy,0
2022-05-04,Czechia,CZ,TESSy,0
2022-05-04,Denmark,DK,TESSy,0
2022-05-04,Estonia,EE,TESSy,0
2022-05-04,Finland,FI,TESSy,0
2022-05-04,France,FR,TESSy,0
2022-05-04,Germany,DE,TESSy,0
2022-05-04,Greece,EL,TESSy,0
2022-05-04,Hungary,HU,TESSy,0
2022-05-04,Iceland,IS,TESSy,0
2022-05-04,Ireland,IE,TESSy,0
2022-05-04,Italy,IT,TESSy,0
2022-05-04,Latvia,LV,TESSy,0
2022-05-04,Lithuania,LT,TESSy,0
2022-05-04,Luxembourg,LU,TESSy,0
2022-05-04,Malta,MT,TESSy,0
2022-05-04,Netherlands,NL,TESSy,0
2022-05-04,Norway,NO,TESSy,0
2022-05-04,Poland,PL,TESSy,0
2022-05-04,Portugal,PT,TESSy,2
2022-05-04,Romania,RO,TESSy,0
2022-05-04,Slovakia,SK,TESSy,0
2022-05-04,Slovenia,SI,TESSy,0
2022-05-04,Spain,ES,TESSy,0
2022-05-04,Sweden,SE,TESSy,0
2022-05-05,Austria,AT,TESSy,0
2022-05-05,Belgium,BE,TESSy,0
2022-05-05,Bulgaria,BG,TESSy,0
2022-05-05,Croatia,HR,TESSy,0
2022-05-05,Cyprus,CY,TESSy,0
2022-05-05,Czechia,CZ,TESSy,0
2022-05-05,Denmark,DK,TESSy,0
2022-05-05,Estonia,EE,TESSy,0
2022-05-05,Finland,FI,TESSy,0
2022-05-05,France,FR,TESSy,0
2022-05-05,Germany,DE,TESSy,0
2022-05-05,Greece,EL,TESSy,0
2022-05-05,Hungary,HU,TESSy,0
