origin,destination,lon_origin,lat_origin,lon_destination,lat_destination,name_origin,name_destination,cases_origin,cases_destination,flow value,index_right,pop_est,continent,name,iso_a3,gdp_md_est
1159113785,1159114373,75.95707224036518,30.850359856170176,120.20973331809326,22.950667918346994,Sahnewal,Tainan,58,98,68,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113803,1159114373,75.93305977107549,17.625415183635024,120.20973331809326,22.950667918346994,Solapur,Tainan,9,98,54,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113831,1159114373,85.3235970368767,23.317724598996193,120.20973331809326,22.950667918346994,Birsa Munda,Tainan,34,98,17,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113845,1159114373,48.74710654359313,31.343158556075725,120.20973331809326,22.950667918346994,Ahwaz,Tainan,42,98,22,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113863,1159114373,78.21721865463483,26.28548769793701,120.20973331809326,22.950667918346994,Gwalior,Tainan,87,98,17,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113883,1159114373,42.97109630194003,14.755253441372462,120.20973331809326,22.950667918346994,Hodeidah Int'l,Tainan,26,98,47,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113903,1159114373,75.8092915005895,22.72774918757095,120.20973331809326,22.950667918346994,Devi Ahilyabai Holkar Int'l,Tainan,68,98,15,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113917,1159114373,73.81056749246886,19.966020567280626,120.20973331809326,22.950667918346994,Gandhinagar,Tainan,29,98,58,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113937,1159114373,76.80172611052417,30.670724894966725,120.20973331809326,22.950667918346994,Chandigarh Int'l,Tainan,0,98,78,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113953,1159114373,75.39584329220051,19.867296962108234,120.20973331809326,22.950667918346994,Aurangabad,Tainan,59,98,15,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113971,1159114373,72.9878190922305,31.362743548086222,120.20973331809326,22.950667918346994,Faisalabad Int'l,Tainan,74,98,63,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113991,1159114373,73.3163595376585,54.95764829340594,120.20973331809326,22.950667918346994,Omsk Tsentralny,Tainan,84,98,58,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114013,1159114373,82.66715245258652,55.00958471362636,120.20973331809326,22.950667918346994,Novosibirsk Tolmachev,Tainan,55,98,69,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114037,1159114373,35.30187285752786,47.873263557902284,120.20973331809326,22.950667918346994,Zaporozhye Int'l,Tainan,27,98,35,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114047,1159114373,101.44656929844086,0.4646008729985052,120.20973331809326,22.950667918346994,Simpang Tiga,Tainan,95,98,60,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114063,1159114373,145.24398029858185,14.171771297121616,120.20973331809326,22.950667918346994,Rota Int'l,Tainan,72,98,72,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114081,1159114373,73.40849647643748,61.340167219448126,120.20973331809326,22.950667918346994,Surgut,Tainan,50,98,46,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114099,1159114373,78.7089578747476,10.76035713065535,120.20973331809326,22.950667918346994,Tiruchirappalli,Tainan,42,98,95,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114117,1159114373,63.027933351918136,25.988794590011004,120.20973331809326,22.950667918346994,Turbat Int'l,Tainan,4,98,49,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114135,1159114373,66.94873114809494,30.249043186181034,120.20973331809326,22.950667918346994,Quetta Int'l,Tainan,73,98,33,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114153,1159114373,60.90070856491495,29.475294195657344,120.20973331809326,22.950667918346994,Zahedan Int'l,Tainan,20,98,72,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114171,1159114373,112.71141861725775,-7.929980028405668,120.20973331809326,22.950667918346994,Abdul Rachman Saleh,Tainan,52,98,78,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114187,1159114373,83.55045321240377,53.3633850813046,120.20973331809326,22.950667918346994,Barnaul,Tainan,40,98,73,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114195,1159114373,75.75848284560045,31.43294223977149,120.20973331809326,22.950667918346994,Adampur,Tainan,50,98,17,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114211,1159114373,79.45200268765704,28.421808716114356,120.20973331809326,22.950667918346994,Bareilly,Tainan,30,98,59,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114231,1159114373,73.03204983920023,33.56141462788605,120.20973331809326,22.950667918346994,Dhamial,Tainan,73,98,11,140,23568378.0,Asia,Taiwan,TWN,1127000
